TransactionID,Amount,CustomerID,TransactionAmount,AnomalyScore,FraudIndicator,Category,Timestamp,MerchantID,Name,Age,Address,AccountBalance,LastLogin,SuspiciousFlag,MerchantName,Location,Amount_Diff
15,99.83263446243002,1321,35.45084414311964,0.8279264002423734,0,Other,2022-01-01 14:00:00,2849,Customer 1321,47,Address 1321,2685.9423652780533,2022-11-17,0,Merchant 2849,Location 2849,64.38179031931038
16,20.735039147246727,1463,47.62737483292299,0.4559473695840319,0,Other,2022-01-01 15:00:00,2640,Customer 1463,46,Address 1463,1847.3263923843544,2023-04-08,0,Merchant 2640,Location 2640,26.89233568567626
17,44.54511885107208,1962,83.80043412877465,0.0786169688869532,0,Other,2022-01-01 16:00:00,2858,Customer 1962,39,Address 1962,7989.117483166383,2024-08-19,0,Merchant 2858,Location 2858,39.25531527770257
18,27.05493666999777,1854,67.01973545243015,0.5328202953043202,0,Travel,2022-01-01 17:00:00,2479,Customer 1854,57,Address 1854,9960.172528289351,2024-05-03,0,Merchant 2479,Location 2479,39.96479878243238
19,13.615519156393288,1651,79.67952921186595,0.2520122859524184,1,Food,2022-01-01 18:00:00,2470,Customer 1651,58,Address 1651,8326.14998923507,2023-10-13,0,Merchant 2470,Location 2470,66.06401005547266
20,20.80228963510888,1715,23.12632324762183,0.2791586079368224,0,Travel,2022-01-01 19:00:00,2933,Customer 1715,57,Address 1715,9103.487493642171,2023-12-16,0,Merchant 2933,Location 2933,2.324033612512949
21,36.04360521851923,1724,60.70535435436163,0.6759407120991201,0,Travel,2022-01-01 20:00:00,2835,Customer 1724,32,Address 1724,8830.49151334518,2023-12-25,0,Merchant 2835,Location 2835,24.6617491358424
22,99.1004273987159,1117,53.84670686845873,0.1242284781235212,0,Online,2022-01-01 21:00:00,2220,Customer 1117,52,Address 1117,7288.036637655037,2022-04-27,0,Merchant 2220,Location 2220,45.25372053025716
23,85.4201781893225,1613,15.579538194663694,0.1953263896357612,0,Travel,2022-01-01 22:00:00,2465,Customer 1613,21,Address 1613,8486.464783345322,2023-09-05,0,Merchant 2465,Location 2465,69.8406399946588
24,84.05328458627297,1643,13.386777836538998,0.6172898016719134,0,Retail,2022-01-01 23:00:00,2480,Customer 1643,52,Address 1643,7833.796203088414,2023-10-05,0,Merchant 2480,Location 2480,70.66650674973397
25,50.258612452465634,1788,98.4640558012606,0.2443530379310863,0,Travel,2022-01-02 00:00:00,2305,Customer 1788,27,Address 1788,4384.800511892174,2024-02-27,0,Merchant 2305,Location 2305,48.205443348794965
26,52.593928648769634,1251,95.19370554798026,0.4870702896864038,0,Other,2022-01-02 01:00:00,2753,Customer 1251,34,Address 1251,1820.9385858995977,2022-09-08,0,Merchant 2753,Location 2753,42.599776899210624
27,20.48932094343152,1960,77.5092196540028,0.4227359977610908,0,Other,2022-01-02 02:00:00,2301,Customer 1960,34,Address 1960,9934.498596865016,2024-08-17,0,Merchant 2301,Location 2301,57.01989871057128
28,12.397442736592344,1187,51.77113770450813,0.838064383449069,0,Online,2022-01-02 03:00:00,2914,Customer 1187,46,Address 1187,4845.969183660771,2022-07-06,0,Merchant 2914,Location 2914,39.37369496791578
29,25.334803493141827,1121,73.08040768249539,0.4633405713676668,0,Other,2022-01-02 04:00:00,2322,Customer 1121,23,Address 1121,4584.987687518285,2022-05-01,0,Merchant 2322,Location 2322,47.745604189353564
30,70.07512697850342,1117,83.8842181328395,0.6466000102947055,0,Retail,2022-01-02 05:00:00,2932,Customer 1117,52,Address 1117,7288.036637655037,2022-04-27,0,Merchant 2932,Location 2932,13.809091154336073
31,92.6193029775784,1475,59.9638046074686,0.0286451504049212,0,Food,2022-01-02 06:00:00,2951,Customer 1475,25,Address 1475,2805.3119964226125,2023-04-20,0,Merchant 2951,Location 2951,32.6554983701098
32,77.7269441692719,1993,64.82555289198555,0.1139557066719609,0,Online,2022-01-02 07:00:00,2313,Customer 1993,60,Address 1993,8330.438296145094,2024-09-19,0,Merchant 2313,Location 2313,12.90139127728635
33,59.3509900357369,1030,16.31638922256401,0.7904919847795615,0,Other,2022-01-02 08:00:00,2693,Customer 1030,54,Address 1030,3767.55788843177,2022-01-30,0,Merchant 2693,Location 2693,43.03460081317289
34,61.34763595275774,1116,74.89233384628318,0.496141397087933,0,Retail,2022-01-02 09:00:00,2686,Customer 1116,22,Address 1116,3038.909606871837,2022-04-26,0,Merchant 2686,Location 2686,13.544697893525438
35,60.47401632791208,1676,63.48108383812917,0.0234248603939667,0,Online,2022-01-02 10:00:00,2173,Customer 1676,38,Address 1676,7624.565426838614,2023-11-07,0,Merchant 2173,Location 2173,3.007067510217091
36,42.20773347952953,1547,55.0748944700021,0.1056184269218054,0,Retail,2022-01-02 11:00:00,2674,Customer 1547,31,Address 1547,6742.168051456645,2023-07-01,0,Merchant 2674,Location 2674,12.86716099047257
37,71.26856791663724,1527,15.85588970150042,0.1173613685668951,0,Food,2022-01-02 12:00:00,2832,Customer 1527,59,Address 1527,3545.727576422631,2023-06-11,0,Merchant 2832,Location 2832,55.41267821513682
38,46.214982406953474,1087,35.25955889294103,0.682579996111541,0,Retail,2022-01-02 13:00:00,2967,Customer 1087,28,Address 1087,2934.8098384758123,2022-03-28,0,Merchant 2967,Location 2967,10.955423514012445
39,14.63168948637222,1207,53.30527210965001,0.9384845538305628,0,Other,2022-01-02 14:00:00,2201,Customer 1207,38,Address 1207,5655.630625853387,2022-07-26,0,Merchant 2201,Location 2201,38.673582623277795
40,80.53777562959479,1038,89.31329987617828,0.5326091267272046,0,Other,2022-01-02 15:00:00,2995,Customer 1038,62,Address 1038,5402.920850264518,2022-02-07,0,Merchant 2995,Location 2995,8.775524246583487
41,47.874851353915766,1800,13.156789554321756,0.3194777655854669,0,Other,2022-01-02 16:00:00,2596,Customer 1800,58,Address 1800,6631.372808065945,2024-03-10,0,Merchant 2596,Location 2596,34.71806179959401
42,85.10981610829299,1510,39.31008128591371,0.2149458399121594,0,Retail,2022-01-02 17:00:00,2518,Customer 1510,53,Address 1510,7685.510723404021,2023-05-25,0,Merchant 2518,Location 2518,45.79973482237928
43,55.81926585658818,1104,62.40210028810944,0.5672705382841227,0,Online,2022-01-02 18:00:00,2910,Customer 1104,52,Address 1104,1693.073845531838,2022-04-14,0,Merchant 2910,Location 2910,6.582834431521256
44,86.97191973785533,2000,88.11638357233643,0.7663300041347579,0,Food,2022-01-02 19:00:00,2423,Customer 2000,42,Address 2000,4853.024379784787,2024-09-26,0,Merchant 2423,Location 2423,1.1444638344811011
45,69.75758075212585,1644,29.203181435601817,0.7076318867164036,0,Online,2022-01-02 20:00:00,2364,Customer 1644,51,Address 1644,3307.317156281388,2023-10-06,1,Merchant 2364,Location 2364,40.55439931652403
46,79.35791579481321,1238,15.0314207539817,0.9923378496402676,0,Online,2022-01-02 21:00:00,2274,Customer 1238,38,Address 1238,8228.897853132457,2022-08-26,0,Merchant 2274,Location 2274,64.3264950408315
47,72.74250983074938,1759,64.0550437068745,0.531697063932589,0,Food,2022-01-02 22:00:00,2639,Customer 1759,33,Address 1759,6608.386988413693,2024-01-29,0,Merchant 2639,Location 2639,8.687466123874884
48,17.6405694778187,1994,37.31484596425175,0.0322402678558125,0,Travel,2022-01-02 23:00:00,2233,Customer 1994,63,Address 1994,8791.304688526334,2024-09-20,0,Merchant 2233,Location 2233,19.67427648643305
49,30.793728080558463,1752,11.93959323128237,0.0061201141369274,1,Other,2022-01-03 00:00:00,2239,Customer 1752,46,Address 1752,6552.420255282427,2024-01-22,0,Merchant 2239,Location 2239,18.854134849276093
50,61.35297940106928,1415,17.91599331862236,0.0447252918925693,0,Online,2022-01-03 01:00:00,2946,Customer 1415,57,Address 1415,9258.31269753691,2023-02-19,0,Merchant 2946,Location 2946,43.43698608244692
51,42.07616320785515,1044,28.42012347274126,0.9181560081146742,0,Retail,2022-01-03 02:00:00,2638,Customer 1044,22,Address 1044,5084.274000658554,2022-02-13,0,Merchant 2638,Location 2638,13.656039735113893
52,90.81333790562653,1374,95.91411492767848,0.0555455780239428,0,Retail,2022-01-03 03:00:00,2770,Customer 1374,47,Address 1374,2897.001043526318,2023-01-09,0,Merchant 2770,Location 2770,5.1007770220519575
53,42.08401695356378,1345,44.00543975418234,0.5687201877502441,0,Food,2022-01-03 04:00:00,2262,Customer 1345,52,Address 1345,7264.807041213747,2022-12-11,0,Merchant 2262,Location 2262,1.9214228006185579
54,87.77609114158098,1680,39.083675731208,0.1116274550577005,0,Online,2022-01-03 05:00:00,2920,Customer 1680,43,Address 1680,1308.3817367590414,2023-11-11,0,Merchant 2920,Location 2920,48.69241541037298
55,62.13088122838467,1043,79.91319162474862,0.6294201752731601,0,Other,2022-01-03 06:00:00,2312,Customer 1043,25,Address 1043,8236.476448026788,2022-02-12,0,Merchant 2312,Location 2312,17.782310396363947
56,83.1517552203441,1611,99.39547482554184,0.5047562252447003,0,Retail,2022-01-03 07:00:00,2292,Customer 1611,21,Address 1611,3612.869037587848,2023-09-03,0,Merchant 2292,Location 2292,16.24371960519774
57,49.723786313021925,1704,98.02129252071374,0.7124860792029184,0,Travel,2022-01-03 08:00:00,2082,Customer 1704,23,Address 1704,1670.4930903743175,2023-12-05,0,Merchant 2082,Location 2082,48.29750620769182
58,13.081741283544147,1405,85.97846399845285,0.6232913655459015,0,Food,2022-01-03 09:00:00,2921,Customer 1405,59,Address 1405,9246.516979425342,2023-02-09,0,Merchant 2921,Location 2921,72.8967227149087
59,28.62756065487808,1161,61.369965594477215,0.6889460878176792,0,Food,2022-01-03 10:00:00,2033,Customer 1161,55,Address 1161,7545.026042634955,2022-06-10,0,Merchant 2033,Location 2033,32.74240493959913
60,82.91599923239106,1336,56.39017672096056,0.7012128117494796,0,Retail,2022-01-03 11:00:00,2479,Customer 1336,42,Address 1336,9996.99152465927,2022-12-02,0,Merchant 2479,Location 2479,26.525822511430498
61,76.11459127700137,1714,52.224587954587946,0.3817522806168361,0,Travel,2022-01-03 12:00:00,2684,Customer 1714,36,Address 1714,8792.09709915188,2023-12-15,0,Merchant 2684,Location 2684,23.89000332241342
62,66.56159118369223,1865,88.00863507425593,0.4478817547460879,0,Travel,2022-01-03 13:00:00,2234,Customer 1865,45,Address 1865,4468.344079407905,2024-05-14,0,Merchant 2234,Location 2234,21.447043890563705
63,50.51711429707575,1702,22.41233395120337,0.7690132128559298,0,Other,2022-01-03 14:00:00,2286,Customer 1702,32,Address 1702,4756.907985455394,2023-12-03,0,Merchant 2286,Location 2286,28.10478034587238
64,55.162744952494926,1483,10.967550794864708,0.3391291866143247,0,Online,2022-01-03 15:00:00,2131,Customer 1483,56,Address 1483,7541.198868921577,2023-04-28,0,Merchant 2131,Location 2131,44.19519415763022
65,78.33451388591148,1139,74.80049283184198,0.0951938957139624,0,Other,2022-01-03 16:00:00,2195,Customer 1139,21,Address 1139,3039.5142047755826,2022-05-19,0,Merchant 2195,Location 2195,3.5340210540694983
66,51.4144879788989,1108,16.34857049322759,0.1072906870387059,0,Other,2022-01-03 17:00:00,2561,Customer 1108,33,Address 1108,7794.946321991311,2022-04-18,0,Merchant 2561,Location 2561,35.06591748567131
67,81.34788954135908,1056,59.48591943885853,0.169625926112435,0,Retail,2022-01-03 18:00:00,2171,Customer 1056,46,Address 1056,3507.492645445045,2022-02-25,0,Merchant 2171,Location 2171,21.86197010250055
68,95.23140544260824,1548,64.68870798615711,0.5467204678243731,0,Other,2022-01-03 19:00:00,2781,Customer 1548,29,Address 1548,4483.156300402189,2023-07-02,0,Merchant 2781,Location 2781,30.542697456451123
69,87.15831942631942,1887,40.11881406202277,0.7132956071476505,0,Retail,2022-01-03 20:00:00,2038,Customer 1887,40,Address 1887,3976.339147069369,2024-06-05,0,Merchant 2038,Location 2038,47.03950536429665
70,78.69681169305915,1897,33.18694249951406,0.2189393885632597,0,Other,2022-01-03 21:00:00,2475,Customer 1897,27,Address 1897,2518.7388735597933,2024-06-15,0,Merchant 2475,Location 2475,45.509869193545086
71,23.80623682022744,1154,64.24073572319557,0.5521439297775538,0,Online,2022-01-03 22:00:00,2487,Customer 1154,48,Address 1154,5544.569288667391,2022-06-03,0,Merchant 2487,Location 2487,40.43449890296813
72,57.31615922446038,1286,53.91674221753586,0.1617728586912705,1,Online,2022-01-03 23:00:00,2495,Customer 1286,19,Address 1286,7665.932450291637,2022-10-13,0,Merchant 2495,Location 2495,3.3994170069245158
73,67.92604330939866,1149,55.60426363765741,0.6860135687546838,0,Travel,2022-01-04 00:00:00,2200,Customer 1149,34,Address 1149,7990.335619571962,2022-05-29,0,Merchant 2200,Location 2200,12.321779671741254
74,16.26344880319616,1158,95.54621197153052,0.957373586986144,0,Travel,2022-01-04 01:00:00,2296,Customer 1158,50,Address 1158,5037.207239014824,2022-06-07,0,Merchant 2296,Location 2296,79.28276316833437
75,13.42002255353782,1606,25.73509604902587,0.7842947190605576,0,Other,2022-01-04 02:00:00,2872,Customer 1606,60,Address 1606,4152.721122244118,2023-08-29,0,Merchant 2872,Location 2872,12.31507349548805
76,42.76855554669151,1422,92.0899205881348,0.4885878004048138,0,Food,2022-01-04 03:00:00,2036,Customer 1422,32,Address 1422,6987.997844391333,2023-02-26,0,Merchant 2036,Location 2036,49.32136504144329
77,41.21158341874049,1007,66.15215047728688,0.2178905074792401,0,Travel,2022-01-04 04:00:00,2753,Customer 1007,33,Address 1007,2957.760054296896,2022-01-07,0,Merchant 2753,Location 2753,24.940567058546392
78,58.13859005804491,1985,70.84820400902817,0.3941309112302433,0,Other,2022-01-04 05:00:00,2116,Customer 1985,47,Address 1985,3816.962495092046,2024-09-11,0,Merchant 2116,Location 2116,12.709613950983254
79,14.634664157422302,1776,65.46874682566187,0.6085123427185402,0,Online,2022-01-04 06:00:00,2203,Customer 1776,31,Address 1776,3715.769255207644,2024-02-15,0,Merchant 2203,Location 2203,50.83408266823957
80,19.137591520992626,1159,25.27309509866829,0.0255585901176547,0,Retail,2022-01-04 07:00:00,2083,Customer 1159,54,Address 1159,5766.570781258057,2022-06-08,0,Merchant 2083,Location 2083,6.135503577675664
81,29.83486576041774,1493,54.43074953579532,0.2007991959678334,0,Travel,2022-01-04 08:00:00,2552,Customer 1493,44,Address 1493,5703.042829615882,2023-05-08,0,Merchant 2552,Location 2552,24.595883775377583
82,38.43137755298227,1322,89.92128590628081,0.084979207388952,0,Online,2022-01-04 09:00:00,2282,Customer 1322,29,Address 1322,9411.508716680992,2022-11-18,0,Merchant 2282,Location 2282,51.489908353298546
83,18.110761868902294,1731,70.5533611534697,0.0148769296562688,0,Food,2022-01-04 10:00:00,2610,Customer 1731,62,Address 1731,5275.9454658434415,2024-01-01,0,Merchant 2610,Location 2610,52.4425992845674
84,22.97242859349798,1876,11.760532784436789,0.8500908746590535,0,Online,2022-01-04 11:00:00,2901,Customer 1876,31,Address 1876,8278.713188445914,2024-05-25,0,Merchant 2901,Location 2901,11.211895809061192
85,22.45289288099517,1920,47.90428072026375,0.8858380254109788,0,Retail,2022-01-04 12:00:00,2323,Customer 1920,33,Address 1920,3434.612874956465,2024-07-08,0,Merchant 2323,Location 2323,25.45138783926858
86,70.51131966791718,1618,30.12257414785566,0.6619170473823522,0,Retail,2022-01-04 13:00:00,2534,Customer 1618,27,Address 1618,6741.429339282374,2023-09-10,0,Merchant 2534,Location 2534,40.38874552006152
87,78.55221406635722,1054,59.06169368651467,0.7086399710261254,0,Retail,2022-01-04 14:00:00,2586,Customer 1054,27,Address 1054,2873.839987462341,2022-02-23,0,Merchant 2586,Location 2586,19.49052037984255
88,35.601241841950866,1886,61.030450747630056,0.0365564379848128,0,Travel,2022-01-04 15:00:00,2882,Customer 1886,37,Address 1886,9467.31225148779,2024-06-04,0,Merchant 2882,Location 2882,25.42920890567919
89,26.00722367933592,1071,77.76328614592758,0.4402907533266011,0,Retail,2022-01-04 16:00:00,2055,Customer 1071,64,Address 1071,4962.283526863032,2022-03-12,0,Merchant 2055,Location 2055,51.75606246659166
90,85.36034193563887,1975,49.16020343383616,0.0002337072005655,0,Retail,2022-01-04 17:00:00,2622,Customer 1975,51,Address 1975,8710.760047285832,2024-09-01,0,Merchant 2622,Location 2622,36.20013850180271
91,48.09673926087099,1726,70.28777110281193,0.5325805700018359,0,Online,2022-01-04 18:00:00,2140,Customer 1726,23,Address 1726,9885.267204374808,2023-12-27,0,Merchant 2140,Location 2140,22.19103184194094
92,29.03410939854033,1435,33.838420642486625,0.1103865196909265,0,Food,2022-01-04 19:00:00,2010,Customer 1435,35,Address 1435,8804.517944437239,2023-03-11,0,Merchant 2010,Location 2010,4.8043112439462945
93,98.14685940247114,1684,49.22333118633592,0.190179868627074,0,Travel,2022-01-04 20:00:00,2111,Customer 1684,43,Address 1684,7560.730128542115,2023-11-15,0,Merchant 2111,Location 2111,48.92352821613522
94,79.77488953148558,1277,85.86740383135798,0.4604078745218216,0,Travel,2022-01-04 21:00:00,2680,Customer 1277,22,Address 1277,5042.199848161743,2022-10-04,0,Merchant 2680,Location 2680,6.092514299872391
95,50.39592040108388,1828,72.2881408132906,0.6351498923024964,1,Other,2022-01-04 22:00:00,2600,Customer 1828,62,Address 1828,2077.514821107271,2024-04-07,0,Merchant 2600,Location 2600,21.89222041220672
96,98.5026858539832,1466,26.196351691755417,0.495002454686524,0,Retail,2022-01-04 23:00:00,2054,Customer 1466,41,Address 1466,2569.1292344962367,2023-04-11,0,Merchant 2054,Location 2054,72.30633416222778
97,18.16684546592576,1922,90.0778270615524,0.3040718787901955,0,Other,2022-01-05 00:00:00,2432,Customer 1922,46,Address 1922,5101.105372122595,2024-07-10,0,Merchant 2432,Location 2432,71.91098159562664
98,55.88720399193835,1183,21.11119366756257,0.291574943975321,0,Other,2022-01-05 01:00:00,2346,Customer 1183,40,Address 1183,7149.964405144897,2022-07-02,0,Merchant 2346,Location 2346,34.776010324375775
99,76.84342858021311,1866,15.152685241543288,0.2419476642350824,0,Online,2022-01-05 02:00:00,2299,Customer 1866,35,Address 1866,9510.171443616422,2024-05-15,0,Merchant 2299,Location 2299,61.690743338669826
100,13.097222776355888,1514,94.0073412618988,0.3374859941376362,0,Other,2022-01-05 03:00:00,2027,Customer 1514,20,Address 1514,2045.0579963089228,2023-05-29,0,Merchant 2027,Location 2027,80.91011848554291
101,58.92390637798005,1023,88.98436112503889,0.9603976293466876,0,Food,2022-01-05 04:00:00,2433,Customer 1023,34,Address 1023,9545.47486907634,2022-01-23,0,Merchant 2433,Location 2433,30.060454747058834
102,61.65899469709107,1012,97.48688179907796,0.2645800599183321,0,Online,2022-01-05 05:00:00,2736,Customer 1012,45,Address 1012,2706.148887561668,2022-01-12,0,Merchant 2736,Location 2736,35.827887101986896
103,12.458635265316776,1585,83.76810174234359,0.3332819881973068,0,Retail,2022-01-05 06:00:00,2744,Customer 1585,37,Address 1585,7900.2424003291135,2023-08-08,0,Merchant 2744,Location 2744,71.30946647702682
104,16.651042272403856,1914,93.56933968320736,0.3398523619032424,0,Travel,2022-01-05 07:00:00,2433,Customer 1914,18,Address 1914,6131.253862602764,2024-07-02,0,Merchant 2433,Location 2433,76.9182974108035
105,64.1798875377491,1979,39.7071103789509,0.2223044794557515,0,Other,2022-01-05 08:00:00,2453,Customer 1979,20,Address 1979,8722.686489131847,2024-09-05,0,Merchant 2453,Location 2453,24.472777158798195
106,13.915099886609262,1995,54.89026403662322,0.4215635124057515,0,Travel,2022-01-05 09:00:00,2154,Customer 1995,38,Address 1995,2240.517799293388,2024-09-21,0,Merchant 2154,Location 2154,40.97516415001396
107,58.084975288492096,1359,85.92834801769118,0.3664545518768669,0,Online,2022-01-05 10:00:00,2908,Customer 1359,53,Address 1359,8430.98651867882,2022-12-25,0,Merchant 2908,Location 2908,27.843372729199082
108,96.8105858612092,1609,64.58967531386853,0.8913273664664983,0,Online,2022-01-05 11:00:00,2967,Customer 1609,29,Address 1609,7085.442721000245,2023-09-01,0,Merchant 2967,Location 2967,32.22091054734068
109,48.737959254294935,1796,66.51437179940578,0.7824277459451286,0,Food,2022-01-05 12:00:00,2508,Customer 1796,33,Address 1796,5588.049941710766,2024-03-06,0,Merchant 2508,Location 2508,17.776412545110844
110,44.24378825471623,1685,57.44211218746886,0.0063315156706293,0,Other,2022-01-05 13:00:00,2580,Customer 1685,18,Address 1685,3046.120484791152,2023-11-16,0,Merchant 2580,Location 2580,13.19832393275263
111,22.586047991269297,1961,10.625085325396435,0.6864802438144277,0,Retail,2022-01-05 14:00:00,2570,Customer 1961,47,Address 1961,3454.6485309782306,2024-08-18,0,Merchant 2570,Location 2570,11.960962665872861
112,40.47944601842122,1740,21.310132757865613,0.290569092728993,0,Other,2022-01-05 15:00:00,2493,Customer 1740,19,Address 1740,1783.739009166993,2024-01-10,0,Merchant 2493,Location 2493,19.169313260555608
113,74.4439571243902,1836,31.089658414406184,0.3787730482978894,0,Online,2022-01-05 16:00:00,2628,Customer 1836,47,Address 1836,4018.773274033155,2024-04-15,0,Merchant 2628,Location 2628,43.35429870998401
114,77.57986716270221,1120,97.86479106596292,0.8384719464730573,0,Travel,2022-01-05 17:00:00,2240,Customer 1120,47,Address 1120,7450.419004134611,2022-04-30,0,Merchant 2240,Location 2240,20.284923903260704
115,40.63979180497972,1841,20.93135754622178,0.8548717198256173,0,Retail,2022-01-05 18:00:00,2941,Customer 1841,22,Address 1841,9319.481714172363,2024-04-20,0,Merchant 2941,Location 2941,19.708434258757944
116,62.921911545133966,1930,84.66984069219563,0.4309100079096375,0,Food,2022-01-05 19:00:00,2507,Customer 1930,61,Address 1930,1111.7721667693309,2024-07-18,0,Merchant 2507,Location 2507,21.74792914706167
117,43.7036374245612,1423,75.34393386371227,0.8626867847533091,0,Travel,2022-01-05 20:00:00,2128,Customer 1423,40,Address 1423,7025.452026763664,2023-02-27,0,Merchant 2128,Location 2128,31.640296439151065
118,56.60485656715164,1575,31.029962233485527,0.9230146888184372,0,Retail,2022-01-05 21:00:00,2428,Customer 1575,21,Address 1575,7192.646432329213,2023-07-29,0,Merchant 2428,Location 2428,25.574894333666116
119,17.72987462635209,1780,19.527907375407104,0.8521427323660469,1,Retail,2022-01-05 22:00:00,2572,Customer 1780,48,Address 1780,8473.630815815763,2024-02-19,0,Merchant 2572,Location 2572,1.7980327490550145
120,68.83486745284134,1894,82.48672259028618,0.0428071189562689,0,Retail,2022-01-05 23:00:00,2304,Customer 1894,26,Address 1894,9728.588504180754,2024-06-12,0,Merchant 2304,Location 2304,13.65185513744484
121,32.34210737065556,1240,95.08638384399995,0.7459715350697309,0,Retail,2022-01-06 00:00:00,2794,Customer 1240,43,Address 1240,1883.4867347636705,2022-08-28,0,Merchant 2794,Location 2794,62.74427647334439
122,87.56655197793899,1167,48.77567691066048,0.5893665589856495,0,Retail,2022-01-06 01:00:00,2846,Customer 1167,33,Address 1167,4121.316624748486,2022-06-16,0,Merchant 2846,Location 2846,38.790875067278506
123,70.83894725546456,1330,76.92373657516502,0.269505804949578,1,Other,2022-01-06 02:00:00,2169,Customer 1330,63,Address 1330,8773.956940488475,2022-11-26,1,Merchant 2169,Location 2169,6.084789319700462
124,26.529790933426444,1171,52.738703327766736,0.4136975064344618,0,Travel,2022-01-06 03:00:00,2948,Customer 1171,22,Address 1171,4631.532991706319,2022-06-20,0,Merchant 2948,Location 2948,26.20891239434029
125,88.20456750327392,1749,83.10764958693693,0.7920798620894777,0,Retail,2022-01-06 04:00:00,2148,Customer 1749,44,Address 1749,3334.187888384263,2024-01-19,0,Merchant 2148,Location 2148,5.0969179163369915
126,55.20289159939914,1069,60.02616890446173,0.407731665515309,0,Other,2022-01-06 05:00:00,2226,Customer 1069,38,Address 1069,8363.065543345401,2022-03-10,0,Merchant 2226,Location 2226,4.8232773050625894
127,55.48555001123924,1569,89.72536824864176,0.5470065298001408,0,Other,2022-01-06 06:00:00,2390,Customer 1569,31,Address 1569,6363.937936403128,2023-07-23,0,Merchant 2390,Location 2390,34.23981823740252
128,39.19964508295418,1537,83.8883819694083,0.6487036898380295,0,Food,2022-01-06 07:00:00,2637,Customer 1537,37,Address 1537,1947.17341955263,2023-06-21,0,Merchant 2637,Location 2637,44.68873688645412
129,49.87286889896349,1425,93.2420611636587,0.8657397106795307,0,Food,2022-01-06 08:00:00,2461,Customer 1425,56,Address 1425,6441.933112929328,2023-03-01,0,Merchant 2461,Location 2461,43.369192264695215
130,12.473355037269908,1761,53.74615541333524,0.6067478301246536,0,Other,2022-01-06 09:00:00,2928,Customer 1761,21,Address 1761,2854.1866227984992,2024-01-31,0,Merchant 2928,Location 2928,41.272800376065334
